Year,Quarter,Total Arrivals
2011,Q1,1108387.0
2011,Q2,4195768.0
2011,Q3,8925699.2
2011,Q4,2197392.7738069054
2012,Q1,978558.5689700104
2012,Q2,3849244.808631407
2012,Q3,8655186.036731983
2012,Q4,2034632.16323471
2013,Q1,1023353.5706866065
2013,Q2,4397477.548530895
2013,Q3,10116762.36365333
2013,Q4,2385673.10879451
2014,Q1,1186900.193464431
2014,Q2,5077136.421935931
2014,Q3,12722924.70929275
2014,Q4,3046500.7456586985
